coddistbar,codbarrio,coddistrit,nombre,Ind_Equip,Vul_Equip,Ind_Dem,Vul_Dem,Ind_Econom,Vul_Econom,Ind_Global,Vul_Global,n_locales_total,n_locales_bakery,n_locales_bank,n_locales_bar,n_locales_cafe,n_locales_clothes,n_locales_convenience,n_locales_fast_food,n_locales_hairdresser,n_locales_health_care,n_locales_home_craft_repairs,n_locales_leisure_education,n_locales_otro,n_locales_pharmacy,n_locales_professional_services,n_locales_restaurant,n_locales_retail_commerce,n_locales_supermarket_food,n_paradas_emt,n_paradas_metro,n_equipamiento_municipal,poblacion,demo_edad_0___4,demo_edad_05___09,demo_edad_10___14,demo_edad_15___19,demo_edad_20___24,demo_edad_25___29,demo_edad_30___34,demo_edad_35___39,demo_edad_40___44,demo_edad_45___49,demo_edad_50___54,demo_edad_55___59,demo_edad_60___64,demo_edad_65___69,demo_edad_70___74,demo_edad_75___79,demo_edad_80___84,demo_edad_85___89,demo_edad_90+,demo_pct_joven,demo_pct_mayor,demo_total_distrito,sin_dato_vulnerabilidad,densidad_locales_hab,accesibilidad_tp,area_km2,densidad_locales_km2,oferta_insuficiente
93,3,9,LA CREU COBERTA,1.6,Vulnerabilidad Media,3.6,Vulnerabilidad Baja,2.5,Vulnerabilidad Baja,2.6,Vulnerabilidad Baja,38.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,9.0,6158.0,1941.0,2256.0,2455.0,2350.0,2670.0,3055.0,3221.0,3755.0,4562.0,4106.0,4150.0,3878.0,3476.0,3017.0,2590.0,1998.0,1610.0,998.0,535.0,22.18,20.42,52623.0,0,0.006170834686586554,8.0,0.3748854482595367,101.36429721777904,1
104,4,10,LA FONTETA S.LLUIS,1.6,Vulnerabilidad Media,3.7,Vulnerabilidad Baja,2.2,Vulnerabilidad Media,2.5,Vulnerabilidad Media,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,6.0,2950.0,2870.0,3368.0,3802.0,3640.0,3637.0,3961.0,4305.0,5245.0,6174.0,6228.0,6064.0,5112.0,4132.0,3925.0,3907.0,2961.0,2401.0,1460.0,723.0,23.43,20.8,73915.0,0,0.013220338983050847,8.0,0.23882441832273987,163.29988480196616,0
142,2,14,CAMI DE VERA,1.4,Vulnerabilidad Alta,4.1,Vulnerabilidad Baja,3.3,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,78.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,65.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,14.0,5412.0,1068.0,1074.0,1128.0,1223.0,1695.0,1997.0,2007.0,2098.0,2119.0,1814.0,2081.0,2100.0,2076.0,1846.0,1517.0,1087.0,869.0,618.0,301.0,21.55,21.72,28718.0,0,0.014412416851441241,4.0,0.8270319850547233,94.31316008272506,0
181,1,18,BENIMAMET,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,101.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,63.0,4.0,0.0,4.0,6.0,7.0,20.0,3.0,20.0,13187.0,642.0,699.0,771.0,768.0,684.0,818.0,869.0,1136.0,1304.0,1198.0,1082.0,939.0,897.0,722.0,685.0,466.0,399.0,211.0,97.0,24.77,17.93,14387.0,1,0.007659058163342686,26.0,1.4771915686164854,68.3729870558326,1
182,2,18,BENIFERRI,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,3.0,1200.0,642.0,699.0,771.0,768.0,684.0,818.0,869.0,1136.0,1304.0,1198.0,1082.0,939.0,897.0,722.0,685.0,466.0,399.0,211.0,97.0,24.77,17.93,14387.0,1,0.0275,5.0,0.5339455579802276,61.80405381558023,0
195,5,19,EL PALMAR,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,755.0,881.0,905.0,1049.0,910.0,968.0,1116.0,1285.0,1508.0,1734.0,1581.0,1621.0,1497.0,1391.0,1270.0,1005.0,772.0,589.0,380.0,185.0,22.83,20.35,20647.0,1,0.0,8.0,36.96163971905129,0.0,1
194,4,19,EL SALER,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,1836.0,881.0,905.0,1049.0,910.0,968.0,1116.0,1285.0,1508.0,1734.0,1581.0,1621.0,1497.0,1391.0,1270.0,1005.0,772.0,589.0,380.0,185.0,22.83,20.35,20647.0,1,0.0,11.0,8.247660455508242,0.0,1
196,6,19,EL PERELLONET,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,1378.0,881.0,905.0,1049.0,910.0,968.0,1116.0,1285.0,1508.0,1734.0,1581.0,1621.0,1497.0,1391.0,1270.0,1005.0,772.0,589.0,380.0,185.0,22.83,20.35,20647.0,1,0.0,17.0,4.928204351112738,0.0,1
162,2,16,CIUTAT FALLERA,1.8,Vulnerabilidad Baja,3.3,Vulnerabilidad Baja,1.7,Vulnerabilidad Alta,2.3,Vulnerabilidad Alta,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,5791.0,2205.0,2441.0,2373.0,2463.0,2253.0,2510.0,2863.0,3900.0,4223.0,3924.0,3701.0,2976.0,2484.0,2361.0,2177.0,1563.0,1186.0,711.0,385.0,25.13,17.95,46699.0,0,0.004835088931099983,6.0,0.4969077422953172,56.34848809290502,1
173,3,17,CARPESA,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1186.0,237.0,329.0,420.0,341.0,302.0,340.0,340.0,388.0,517.0,563.0,528.0,477.0,409.0,368.0,326.0,239.0,207.0,145.0,90.0,24.81,20.94,6566.0,1,0.0042158516020236085,6.0,2.2555402317205147,2.2167638287639964,1
177,7,17,BORBOTO,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,715.0,237.0,329.0,420.0,341.0,302.0,340.0,340.0,388.0,517.0,563.0,528.0,477.0,409.0,368.0,326.0,239.0,207.0,145.0,90.0,24.81,20.94,6566.0,1,0.006993006993006993,3.0,1.4195907270890724,3.5221419135730057,1
171,1,17,BENIFARAIG,2.4,Vulnerabilidad Baja,2.95,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,10.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,1014.0,237.0,329.0,420.0,341.0,302.0,340.0,340.0,388.0,517.0,563.0,528.0,477.0,409.0,368.0,326.0,239.0,207.0,145.0,90.0,24.81,20.94,6566.0,1,0.009861932938856016,8.0,1.4220684362081264,7.032010376845501,0
152,2,15,TORREFIEL,4.2,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,1.9,Vulnerabilidad Media,3.0,Vulnerabilidad Baja,161.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,121.0,9.0,0.0,3.0,0.0,11.0,27.0,1.0,39.0,26268.0,2361.0,2872.0,3055.0,2750.0,2871.0,3044.0,3137.0,3903.0,4918.0,4662.0,4293.0,3311.0,2894.0,2586.0,2323.0,1795.0,1477.0,936.0,382.0,25.96,17.73,53570.0,0,0.006129130500989797,29.0,0.7002706128918745,229.91111869613647,1
54,4,5,TORMOS,2.6,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.2,Vulnerabilidad Media,2.6,Vulnerabilidad Baja,35.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,16.0,8628.0,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0.004056560037088549,6.0,0.2799489956377571,125.0227739530404,1
51,1,5,MARXALENES,2.4,Vulnerabilidad Baja,2.6,Vulnerabilidad Media,2.2,Vulnerabilidad Media,2.4,Vulnerabilidad Media,62.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,48.0,0.0,0.0,3.0,0.0,2.0,14.0,2.0,25.0,10629.0,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0.005833098127763665,18.0,0.39036246998252183,158.82674377681852,1
43,3,4,EL CALVARI,1.2,Vulnerabilidad Alta,2.6,Vulnerabilidad Media,1.8,Vulnerabilidad Alta,1.9,Vulnerabilidad Alta,47.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,1.0,5.0,2.0,7.0,4.0,0.0,4.0,4864.0,1741.0,2197.0,2142.0,1731.0,1594.0,1899.0,2293.0,2893.0,3337.0,3174.0,2681.0,2427.0,2423.0,2370.0,2135.0,1433.0,952.0,582.0,334.0,24.53,20.36,38338.0,0,0.009662828947368422,4.0,0.09368162331595396,501.6992483305518,0
52,2,5,MORVEDRE,2.0,Vulnerabilidad Baja,2.4,Vulnerabilidad Alta,2.4,Vulnerabilidad Baja,2.3,Vulnerabilidad Alta,196.0,3.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,163.0,2.0,2.0,6.0,1.0,1.0,13.0,1.0,23.0,10222.0,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0.01917432987673645,15.0,0.428181365731374,457.7499529088885,0
53,3,5,TRINITAT,3.2,Vulnerabilidad Baja,2.6,Vulnerabilidad Media,2.7,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,244.0,4.0,5.0,5.0,6.0,4.0,1.0,6.0,4.0,5.0,2.0,0.0,177.0,3.0,2.0,8.0,6.0,6.0,11.0,1.0,26.0,7807.0,1813.0,1890.0,2111.0,1986.0,2459.0,2838.0,2885.0,3249.0,3708.0,3531.0,3594.0,3264.0,2860.0,2564.0,2618.0,2116.0,1719.0,1223.0,664.0,21.79,23.15,47092.0,0,0.03125400281798386,13.0,0.5956740651733996,409.6199822447735,0
13,3,1,EL CARME,2.8,Vulnerabilidad Baja,3.6,Vulnerabilidad Baja,3.1,Vulnerabilidad Baja,3.2,Vulnerabilidad Baja,337.0,4.0,0.0,18.0,11.0,3.0,7.0,1.0,1.0,1.0,4.0,6.0,209.0,2.0,0.0,57.0,9.0,4.0,4.0,0.0,58.0,6343.0,1011.0,1120.0,1090.0,1076.0,1343.0,1644.0,1922.0,2101.0,2323.0,2264.0,2061.0,1833.0,1543.0,1444.0,1319.0,1049.0,796.0,679.0,452.0,20.83,21.2,27070.0,0,0.05312943402175627,4.0,0.38406465510761195,877.4564269799188,0
31,1,3,EL BOTANIC,2.8,Vulnerabilidad Baja,3.0,Vulnerabilidad Baja,3.3,Vulnerabilidad Baja,3.0,Vulnerabilidad Baja,220.0,3.0,3.0,3.0,8.0,2.0,5.0,1.0,1.0,3.0,3.0,6.0,158.0,3.0,2.0,13.0,3.0,3.0,8.0,2.0,36.0,6620.0,1975.0,2045.0,2157.0,2199.0,2371.0,2581.0,2944.0,3325.0,3719.0,3721.0,3675.0,3484.0,3073.0,2686.0,2531.0,2080.0,1815.0,1425.0,811.0,22.11,23.34,48617.0,0,0.03323262839879154,12.0,0.3701129712925429,594.4131037388275,0
61,1,6,EXPOSICIO,2.0,Vulnerabilidad Baja,2.7,Vulnerabilidad Baja,4.1,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,187.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,2.0,5.0,2.0,7.0,129.0,3.0,2.0,15.0,2.0,9.0,11.0,3.0,40.0,6730.0,1436.0,1524.0,1500.0,1523.0,1786.0,1888.0,1710.0,1899.0,2186.0,2034.0,2037.0,2016.0,1807.0,1783.0,1818.0,1432.0,1065.0,674.0,420.0,25.44,23.55,30538.0,0,0.02778603268945022,17.0,0.38160681713484484,490.0331744700503,0
12,2,1,LA XEREA,2.0,Vulnerabilidad Baja,3.0,Vulnerabilidad Baja,4.0,Vulnerabilidad Baja,3.0,Vulnerabilidad Baja,150.0,2.0,2.0,3.0,6.0,6.0,1.0,3.0,1.0,2.0,5.0,3.0,86.0,1.0,2.0,22.0,4.0,1.0,5.0,1.0,52.0,3908.0,1011.0,1120.0,1090.0,1076.0,1343.0,1644.0,1922.0,2101.0,2323.0,2264.0,2061.0,1833.0,1543.0,1444.0,1319.0,1049.0,796.0,679.0,452.0,20.83,21.2,27070.0,0,0.0383828045035824,7.0,0.31164788954009964,481.31242031305186,0
15,5,1,EL MERCAT,1.0,Vulnerabilidad Alta,3.6,Vulnerabilidad Baja,3.7,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,396.0,8.0,6.0,10.0,24.0,20.0,5.0,7.0,0.0,2.0,5.0,4.0,188.0,4.0,3.0,74.0,33.0,3.0,4.0,0.0,26.0,3558.0,1011.0,1120.0,1090.0,1076.0,1343.0,1644.0,1922.0,2101.0,2323.0,2264.0,2061.0,1833.0,1543.0,1444.0,1319.0,1049.0,796.0,679.0,452.0,20.83,21.2,27070.0,0,0.11129848229342328,4.0,0.17279397256868723,2291.746605007222,0
14,4,1,EL PILAR,1.6,Vulnerabilidad Media,3.4,Vulnerabilidad Baja,3.4,Vulnerabilidad Baja,2.8,Vulnerabilidad Baja,119.0,2.0,0.0,3.0,16.0,3.0,1.0,1.0,4.0,3.0,4.0,2.0,52.0,4.0,1.0,21.0,0.0,2.0,4.0,0.0,40.0,4624.0,1011.0,1120.0,1090.0,1076.0,1343.0,1644.0,1922.0,2101.0,2323.0,2264.0,2061.0,1833.0,1543.0,1444.0,1319.0,1049.0,796.0,679.0,452.0,20.83,21.2,27070.0,0,0.025735294117647058,4.0,0.16160510750379692,736.3628652467194,0
22,2,2,EL PLA DEL REMEI,1.8,Vulnerabilidad Baja,2.7,Vulnerabilidad Baja,4.2,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,335.0,5.0,5.0,1.0,8.0,39.0,0.0,4.0,2.0,9.0,9.0,4.0,185.0,6.0,3.0,36.0,14.0,5.0,15.0,1.0,49.0,6998.0,1763.0,1969.0,2119.0,1932.0,1971.0,2139.0,2447.0,2922.0,3382.0,3361.0,3375.0,2947.0,2556.0,2353.0,2148.0,1800.0,1495.0,1215.0,724.0,22.89,22.84,42618.0,0,0.04787082023435267,17.0,0.3869153203841188,865.8225258886655,0
131,1,13,L'ILLA PERDUDA,2.4,Vulnerabilidad Baja,2.9,Vulnerabilidad Baja,2.5,Vulnerabilidad Baja,2.6,Vulnerabilidad Baja,105.0,2.0,1.0,0.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,76.0,5.0,2.0,2.0,1.0,3.0,6.0,0.0,21.0,8692.0,1236.0,1338.0,1394.0,1621.0,2159.0,2631.0,2300.0,2336.0,2552.0,2309.0,2471.0,2863.0,2659.0,2619.0,2371.0,1503.0,1194.0,751.0,404.0,21.11,24.09,36711.0,0,0.012080073630924988,6.0,0.23152207974505584,453.5204595415798,0
34,4,3,ARRANCAPINS,3.6,Vulnerabilidad Baja,2.7,Vulnerabilidad Baja,3.4,Vulnerabilidad Baja,3.2,Vulnerabilidad Baja,368.0,2.0,9.0,9.0,12.0,1.0,0.0,2.0,2.0,6.0,6.0,4.0,257.0,9.0,3.0,26.0,7.0,13.0,21.0,8.0,51.0,22508.0,1975.0,2045.0,2157.0,2199.0,2371.0,2581.0,2944.0,3325.0,3719.0,3721.0,3675.0,3484.0,3073.0,2686.0,2531.0,2080.0,1815.0,1425.0,811.0,22.11,23.34,48617.0,0,0.016349742313843965,37.0,0.8743687348051495,420.87506717861737,0
